Region ,PARTICULARS, JANUARY , FEBRUARY , MARCH , APRIL , MAY , JUNE , JULY , AUGUST , SEPTEMBER , OCTOBER , NOVEMBER , DECEMBER 
Region IX (Zamboanga Peninsula),Zamboanga del Norte, 193.58 , 115.91 , 105.32 , 97.05 , 111.35 , 149.73 , 141.03 , 119.61 , 107.17 , 147.09 , 125.12 , 121.27 
Region IX (Zamboanga Peninsula),Zamboanga del Sur, 156.51 , 80.41 , 97.63 , 64.46 , 80.48 , 116.88 , 113.73 , 95.83 , 88.12 , 113.40 , 104.41 , 112.48 
Region IX (Zamboanga Peninsula),Zamboanga Sibugay, 56.88 , 33.97 , 33.16 , 24.69 , 38.15 , 42.80 , 47.47 , 43.74 , 39.67 , 44.34 , 33.97 , 38.69 
Region IX (Zamboanga Peninsula),City of Isabela,,,,,,,,,,,,
Region IX (Zamboanga Peninsula),City of Zamboanga, 283.12 , 179.87 , 150.94 , 94.89 , 115.94 , 287.16 , 183.88 , 186.49 , 188.63 , 210.23 , 219.68 , 219.79 
Region X (Northern Mindanao),Bukidnon, 246.39 , 121.16 , 134.11 , 104.72 , 153.93 , 203.04 , 155.07 , 165.70 , 161.46 , 194.66 , 186.99 , 210.80 
Region X (Northern Mindanao),Lanao del Norte (includes City of Iligan), 156.67 , 116.16 , 98.32 , 84.99 , 94.26 , 156.05 , 146.92 , 155.95 , 104.20 , 122.96 , 125.77 , 128.44 
Region X (Northern Mindanao),Misamis Occidental, 139.56 , 74.33 , 67.63 , 62.51 , 68.18 , 109.31 , 95.29 , 91.81 , 77.20 , 94.87 , 103.66 , 109.46 
Region X (Northern Mindanao),Misamis Oriental (includes the province of Camiguin), 46.73 , 38.56 , 40.84 , 24.38 , 41.65 , 47.92 , 40.26 , 46.23 , 38.63 , 50.38 , 57.56 , 54.27 
Region X (Northern Mindanao),City of Cagayan de Oro, 735.71 , 482.87 , 383.73 , 274.84 , 270.27 , 573.90 , 442.60 , 427.00 , 387.47 , 442.44 , 424.11 , 449.29 
Region XI (Davao Region),Davao del Norte and Davao de Oro , 335.39 , 198.52 , 212.01 , 136.78 , 168.22 , 373.30 , 233.53 , 263.18 , 213.22 , 291.53 , 265.15 , 283.30 
Region XI (Davao Region),Davao del Sur and Davao Occidental, 162.43 , 80.56 , 65.29 , 45.93 , 62.31 , 95.68 , 94.18 , 92.24 , 85.21 , 83.94 , 112.90 , 84.31 
Region XI (Davao Region),Davao Oriental, 74.68 , 41.59 , 50.05 , 42.41 , 46.47 , 64.69 , 49.66 , 50.84 , 54.18 , 65.23 , 50.42 , 53.34 
Region XI (Davao Region),City of Davao," 1,257.52 ", 860.36 , 844.75 , 325.44 , 471.36 ," 1,786.00 ", 819.14 , 895.69 , 760.36 ," 1,118.59 "," 1,022.95 ", 922.54 
Region XI (Davao Region),LTD Davao," 1,794.28 ", 920.82 , 928.01 , 823.09 , 898.57 ," 2,625.55 "," 1,530.73 "," 1,300.65 "," 1,437.32 "," 1,115.14 "," 1,697.46 "," 1,022.20 "
Region XII (SOCCSKSARGEN),Cotabato, 153.05 , 89.68 , 98.52 , 62.01 , 98.12 , 141.37 , 125.50 , 122.26 , 99.22 , 121.80 , 120.64 , 121.83 
Region XII (SOCCSKSARGEN),City of General Santos (includes the province of Sarangani), 286.15 , 177.14 , 188.89 , 106.96 , 156.29 , 381.37 , 219.12 , 216.27 , 200.51 , 209.59 , 210.31 , 242.35 
Region XII (SOCCSKSARGEN),South Cotabato, 169.34 , 100.72 , 115.53 , 86.73 , 86.34 , 187.38 , 129.77 , 141.75 , 113.16 , 146.96 , 138.19 , 140.15 
Region XII (SOCCSKSARGEN),Sultan Kudarat, 88.81 , 63.75 , 60.15 , 33.53 , 48.18 , 126.11 , 98.57 , 95.87 , 90.70 , 83.85 , 116.08 , 64.75 
Region XIII (Caraga),Agusan del Norte (includes City of Butuan), 236.15 , 150.78 , 162.27 , 106.80 , 117.95 , 268.30 , 166.07 , 152.88 , 168.08 , 194.43 , 190.61 , 180.08 
Region XIII (Caraga),Agusan del Sur, 103.63 , 61.78 , 58.79 , 56.23 , 78.79 , 86.77 , 68.48 , 87.55 , 78.64 , 76.72 , 84.69 , 76.96 
Region XIII (Caraga),Surigao del Norte and Dinagat Islands, 142.23 , 83.83 , 75.89 , 59.44 , 64.16 , 133.13 , 97.49 , 85.05 , 79.18 , 85.54 , 85.43 , 85.08 
Region XIII (Caraga),Surigao del Sur, 93.73 , 59.23 , 52.56 , 64.72 , 58.71 , 73.86 , 62.90 , 60.69 , 68.09 , 69.38 , 64.68 , 72.54 
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan (includes City of Isabela), 16.44 , 10.93 , 24.29 , 9.39 , 8.31 , 16.67 , 17.38 , 12.30 , 15.63 , 21.86 , 13.60 , 11.86 
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur, 37.18 , 35.18 , 38.83 , 35.99 , 27.84 , 60.45 , 33.32 , 37.55 , 29.79 , 34.15 , 36.17 , 53.58 
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Maguindanao del Norte and Maguindanao del Sur, 172.38 , 174.46 , 77.93 , 85.77 , 152.90 , 130.59 , 157.28 , 111.20 , 100.00 , 102.50 , 144.53 , 137.06 
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Sulu, 14.19 , 14.57 , 17.12 , 6.80 , 7.80 , 17.25 , 12.83 , 7.78 , 8.63 , 7.97 , 12.26 , 24.10 
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Tawi-tawi, 14.38 , 20.17 , 16.13 , 10.23 , 11.94 , 53.14 , 22.85 , 16.58 , 23.48 , 14.81 , 18.12 , 28.19 
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Special Geographic Area,,,,,,,,,,,,
